published	title	item_count	url	description	playlist_id
2023-11-16	Shakey Graves + Sadurn LIVE @ 9:30 Club (DC) 11/13/23	9	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQbCrQ9b6_bJryFlPAAeKC	selected tracks from the stage right balcony  set list: https://www.setlist.fm/setlist/shakey-graves/2023/930-club-washington-dc-23a1300b.html	PLJ7S-K0cjvGKQbCrQ9b6_bJryFlPAAeKC
2023-11-26	Liz Phair LIVE @ The Anthem (DC) 11/25/23	10	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK7QBK-sXIc5g_ZJnCJecir	selected tracks from the upper balcony. Guyville Tour 2023 Set List: https://www.setlist.fm/setlist/liz-phair/2023/the-anthem-washington-dc-13a14d89.html	PLJ7S-K0cjvGK7QBK-sXIc5g_ZJnCJecir
2023-11-27	The Lone Bellow @ The Barns at Wolf Trap 11/26/23	10	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKRyNDy8v0VqJXIn3HkT39K	Selected tracks from the rail in front of Kanene Four songs and some Q+A from the pre-show meet & greet.  Set List: https://www.setlist.fm/setlist/the-lone-bellow/2023/the-barns-at-wolf-trap-vienna-va	PLJ7S-K0cjvGKRyNDy8v0VqJXIn3HkT39K
2023-12-10	Allman Betts Band LIVE @ Capital One Hall 12/5/23	6	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKHr_xJc757cjDVZFPzcd3w	Select tracks from 3rd row stage left, lots of heads and arms in the way	PLJ7S-K0cjvGKHr_xJc757cjDVZFPzcd3w
2023-12-10	Samantha Fish LIVE @ Fillmore Siliver Spring 12/3/23	9	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJm7BrRMqolPm0GAU4mLIdg	With Jesse Dayton. Selected Songs from the stage left balcony Death Wish Blues tour	PLJ7S-K0cjvGJm7BrRMqolPm0GAU4mLIdg
2023-12-12	Tab Benoit LIVE @ Birchmere 12/4/23	5	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLoWqqwTUY1njk0tT8qlJ-j	selected tracks from stage right near the front	PLJ7S-K0cjvGLoWqqwTUY1njk0tT8qlJ-j
2023-12-12	Allison Russell LIVE @ Birchmere 12/11/23	3	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLNql2ZrYj2Xoyy8rSosOX6	Select tracks from the last 2023 show of the Returner Tour	PLJ7S-K0cjvGLNql2ZrYj2Xoyy8rSosOX6
2023-12-24	Sadurn LIVE with Brassie & Glom @ The Atlantis DC 12/15/23	8	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL_NJe6hrWQkT33KqZJ_XnO	Selected tracks from my first visit to the Atlantis, from the center right balcony.  Deep Dive Live - sets by Brassie, Glom, and Sadurn  had a very singalong neighbor for Sadurn	PLJ7S-K0cjvGL_NJe6hrWQkT33KqZJ_XnO
2024-01-15	Jessie's Girl (80's covers) LIVE @ Fillmore Silver Spring 1/13/24	9	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK9hWQ61XCZsAylAeeS16Jb	selected tracks from the rail & balcony full setlist: https://www.setlist.fm/setlist/jessies-girl/2024/the-fillmore-silver-spring-silver-spring-md-3baf4454.html	PLJ7S-K0cjvGK9hWQ61XCZsAylAeeS16Jb
2024-02-18	Stevie Nicks LIVE @ Baltimore (CFG Bank Arena 2/17/24)	9	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJcFE5sqT_9vcUWZalieoP9	Selected tracks, mid-floor left center aisle  Full set list:  https://www.setlist.fm/setlist/stevie-nicks/2024/cfg-bank-arena-baltimore-md-4bad8b46.html	PLJ7S-K0cjvGJcFE5sqT_9vcUWZalieoP9
