title	url
Gaelic Storm @ the Birchmere 2/16/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJCuoPi7VNSx0axXv1HGFOu
Tedeschi Trucks @ Warner Theater (DC) 2/18/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLClt2Ci0OsSwfGPrybUt7x
Buffalo Nichols @ Columbia (MD) Art Center, Beyond the Blues concert 2/23/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL3d6OIv6ko926yd1i6phA_
Lucky Chops @ Union Stage (DC) 3/5/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLL0L4gg9pFhVAP67L-UsQx
Larkin Poe @ 9:30 Club (DC) -3/9/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITKvXJ5BP8bv4CKMnRkdiG
Enter the Haggis @ Hamilton Live (DC) 3/7/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI9luSrliyaqhUiQz1g1-J2
Sona Jobarteh LIVE @ Howard Theatre (DC)	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIzY1sGNTcJKjyY9zhvzFNv
Suzanne Vega - Live @ Birchmere 4/26/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKC_yYTLFmdV6_b-ZNETIX2
The Lone Bellow Trio with Lindsay Lou - LIVE Birchmere (VA) 5/23/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLiOWNveOqzB8vPJIDxYZE0
Wood Brothers LIVE @ The Anthem (DC) 5/20/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJKzAKwX_GB_WWKCWWCJ6hZ
Eric Gales LIVE - Hamilton Live (DC) 5/17/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKu68uJScwygQWtPf6vHJ7M
Avett Brothers LIVE - Wolf Trap 05/25/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLCiZa4_HtXyrfpcOoPxV4k
Indigo Girls with Larkin Poe LIVE - Wolf Trap 06/07/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL5rDxxJhkLBDlMLuj3A7ev
Buddy Guy LIVE - Damn Right Farewell Tour @ Wolf Trap 6/11/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK2nqH-cfbvIX2DiwZIHbPi
Kingfish Ingram LIVE - 2 shows in June 2023	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLFTXtHeMY5QzPncF8xiZP_
Tori Amos LIVE at Wolf Trap 7/5/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKrWHIIZRhg4a8Md0OJAz0j
Elvis Costello & The Imposters LIVE - Baltimore 7/9/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJQlnfR1H4RhpH96g0pDezr
Daniel Donato's Cosmic Country LIVE @ 8x10 (Baltimore) 7/16/2023	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK9qsZBf69EBAjEof98__oM
Tab Benoit LIVE @ Birchmere 07/20/2023	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLa9pSu_ArIRgHqdABZCY3Y
Ana Popović LIVE @ Hamilton Live (DC) 07/27/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJaKg_AUWCQQrqE0r3miNeX
Malibu Wanderers LIVE @ Celtic House (VA) 8/4/2023	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKkLNqSlYuM8X_DryVQDR42
Honeyfunk and Zedicus (covers) at Pearl Street Warehouse (DC) 08/12/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYpFBl7PH6LCxXKxR218P6
Jimmie Vaughan LIVE @ State Theatre Falls Church (VA) 08/18/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIWqX-7z-6qKXi1trysBQqV
King Solomon Hicks LIVE @ State Theater Falls Church 8/18/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJN-_g5toarZztKqJlWSrV7
Steve Earle Alone & Acoustic LIVE @ Birchmere (VA) 8/23/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5WAFCHnB0Ol69_eU0RRWh
Robert Cray Band LIVE @ Birchmere 8/27/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJC-bn8qCCnvVx6Zots9-Z3
Beck LIVE Summer Odyssey Tour closing performance 9/10/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJLJigRBb2WtkHemF8jq3Ji
ZZ Ward LIVE @ 9:30 Club 9/8/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5fEehbuiAlkjhxw6nuO_A
Sonny Landreth LIVE @ Hamilton Live 9/15/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJNcwLlAEHkWF6SUBGBrVNt
Kingsley Flood + Glenn Yoder & the Western States @ Pearl Street Warehouse 9/9/23	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJQaL8ICKbDYuXfLZY6WuG8
Crossroads 2023	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJE3MIbaq5bkylv8dHGrzs_
Songs for Hope 2023 - Kennedy Center	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQ1LJ4aFfP8nO8WUNM3QZf
